close,high,low,open,time,volumefrom,volumeto,timestamp
74.93,74.93,73.0,73.0,1508828400,6.68,500.0,2017-10-24 00:00:00
74.93,74.93,74.93,74.93,1508832000,0.0,0.0,2017-10-24 01:00:00
75.0,75.0,74.93,74.93,1508835600,6.67,500.0,2017-10-24 02:00:00
75.0,75.18,72.13,75.0,1508839200,4556.46,335979.32,2017-10-24 03:00:00
75.44,75.44,75.0,75.0,1508842800,5.43,409.05,2017-10-24 04:00:00
75.3,75.5,73.02,75.44,1508846400,53.01,3979.37,2017-10-24 05:00:00
74.8,75.4,73.23,75.3,1508850000,3579.13,262409.18,2017-10-24 06:00:00
74.97,74.97,74.01,74.8,1508853600,109.09,8163.55,2017-10-24 07:00:00
74.84,74.97,73.5,74.97,1508857200,106.0,7847.34,2017-10-24 08:00:00
74.99,74.99,73.01,74.84,1508860800,7556.24,561034.45,2017-10-24 09:00:00
74.39,74.99,73.12,74.99,1508864400,4.38,324.55,2017-10-24 10:00:00
74.65,74.8,73.21,74.39,1508868000,52.31,3891.41,2017-10-24 11:00:00
73.96,74.65,73.26,74.65,1508871600,50.97,3769.61,2017-10-24 12:00:00
75.0,75.0,73.96,73.96,1508875200,312.07,23292.45,2017-10-24 13:00:00
74.5,75.0,73.4,75.0,1508878800,35.65,2663.3,2017-10-24 14:00:00
74.34,74.8,73.2,74.5,1508882400,26.86,1982.57,2017-10-24 15:00:00
73.14,74.34,73.14,74.34,1508886000,40.92,2996.54,2017-10-24 16:00:00
73.01,74.77,73.0,73.14,1508889600,1190.86,87018.84,2017-10-24 17:00:00
72.0,73.7,72.0,73.01,1508893200,1998.68,144951.17,2017-10-24 18:00:00
72.0,72.4,72.0,72.0,1508896800,1783.47,128416.96,2017-10-24 19:00:00
72.0,73.5,71.85,72.0,1508900400,1109.86,79933.22,2017-10-24 20:00:00
72.0,72.9,71.96,72.0,1508904000,83.53,6021.97,2017-10-24 21:00:00
71.5,73.38,71.5,72.0,1508907600,219.59,15804.15,2017-10-24 22:00:00
72.5,73.2,71.5,71.5,1508911200,4.09,296.97,2017-10-24 23:00:00
73.48,73.48,72.5,72.5,1508914800,135.83,9967.78,2017-10-25 00:00:00
73.95,73.95,73.48,73.48,1508918400,27.11,2000.0,2017-10-25 01:00:00
73.44,73.95,73.44,73.95,1508922000,68.98,5066.14,2017-10-25 02:00:00
71.3,73.44,71.26,73.44,1508925600,22.67,1630.51,2017-10-25 03:00:00
71.17,72.82,71.17,71.3,1508929200,196.86,14233.42,2017-10-25 04:00:00
70.81,71.17,70.7,71.17,1508932800,24.13,1711.82,2017-10-25 05:00:00
70.71,73.0,70.7,70.81,1508936400,284.92,20221.42,2017-10-25 06:00:00
70.98,73.0,70.71,70.71,1508940000,302.2,21536.87,2017-10-25 07:00:00
70.86,72.4,70.8,70.98,1508943600,493.78,35000.48,2017-10-25 08:00:00
71.49,72.18,70.69,70.86,1508947200,407.11,28850.03,2017-10-25 09:00:00
72.98,72.98,70.26,71.49,1508950800,329.9,23246.35,2017-10-25 10:00:00
72.8,72.98,70.0,72.98,1508954400,738.16,51714.71,2017-10-25 11:00:00
72.98,72.98,72.3,72.8,1508958000,53.4,3887.22,2017-10-25 12:00:00
71.7,72.98,71.7,72.98,1508961600,8.8,639.27,2017-10-25 13:00:00
71.0,73.0,70.92,71.7,1508965200,2810.47,201472.41,2017-10-25 14:00:00
71.0,72.42,71.0,71.0,1508968800,8.51,614.91,2017-10-25 15:00:00
72.88,72.99,71.0,71.0,1508972400,1973.85,140445.18,2017-10-25 16:00:00
71.04,72.88,71.04,72.88,1508976000,1622.9,115952.12,2017-10-25 17:00:00
71.97,71.97,71.02,71.04,1508979600,35.11,2513.71,2017-10-25 18:00:00
72.0,72.0,71.11,71.97,1508983200,52.26,3758.31,2017-10-25 19:00:00
72.0,72.0,71.18,72.0,1508986800,64.68,4656.69,2017-10-25 20:00:00
71.78,72.5,71.5,72.0,1508990400,72.64,5265.81,2017-10-25 21:00:00
72.78,72.78,71.78,71.78,1508994000,1.0,73.0,2017-10-25 22:00:00
72.75,72.78,72.75,72.78,1508997600,13.54,985.04,2017-10-25 23:00:00
72.75,72.75,72.75,72.75,1509001200,0.0,0.0,2017-10-26 00:00:00
72.74,72.75,71.75,72.75,1509004800,30.41,2211.78,2017-10-26 01:00:00
72.5,72.74,71.75,72.74,1509008400,15.21,1102.6,2017-10-26 02:00:00
71.8,72.88,71.8,72.5,1509012000,27.61,2006.92,2017-10-26 03:00:00
72.03,73.0,71.8,71.8,1509015600,112.93,8238.41,2017-10-26 04:00:00
72.5,73.0,72.03,72.03,1509019200,181.4,13236.35,2017-10-26 05:00:00
72.5,72.5,72.5,72.5,1509022800,31.65,2294.5,2017-10-26 06:00:00
72.97,72.97,71.9,72.5,1509026400,94.04,6819.98,2017-10-26 07:00:00
72.99,73.0,71.8,72.97,1509030000,1965.77,143448.5,2017-10-26 08:00:00
71.9,72.99,71.9,72.99,1509033600,40.43,2946.15,2017-10-26 09:00:00
73.0,73.0,71.8,71.9,1509037200,54.04,3944.99,2017-10-26 10:00:00
71.71,73.0,71.71,73.0,1509040800,36.16,2598.73,2017-10-26 11:00:00
71.31,72.5,71.29,71.71,1509044400,44.25,3173.94,2017-10-26 12:00:00
71.47,72.76,71.31,71.31,1509048000,92.39,6598.86,2017-10-26 13:00:00
72.71,72.71,71.47,71.47,1509051600,0.719,52.28,2017-10-26 14:00:00
